Time,Text
2022-11-18 22:48:33+00:00,"b'@MiBukola @RadioNow953FM Say what Peter Obi said, you added those last sentence coz you know that the actual thing\xe2\x80\xa6 https://t.co/GnQFSPkrmU'"
2022-11-18 22:48:31+00:00,"b""Which Atiku?\nAtiku will be disgraced on election day.  Peter Obi is the next president of Nigeria.  It's not a clos\xe2\x80\xa6 https://t.co/CHCBr7o9r1"""
2022-11-18 22:48:30+00:00,b'RT @General_Oluchi: Nyesom Wike speech to Peter Obi:\n\n\xe2\x80\x9cI invited you here because I know you worked in Anambra.\n\n*They envy you in your sta\xe2\x80\xa6'
2022-11-18 22:48:29+00:00,"b""RT @dokubohilda: Nigerians do not allow any confused being to confuse you with all what not. This is he. I can't wait for us to start the p\xe2\x80\xa6"""
2022-11-18 22:48:29+00:00,"b""RT @AishaYesufu: When Peter Obi @PeterObi speaks I don't hold my breath. I know he is capable. Beyond his capacity is the fact that he is w\xe2\x80\xa6"""
2022-11-18 22:48:27+00:00,b'RT @omoelerinjare: RUFAI OF ARISE TV TALKS TO THE MIND OF NIGERIANS! \n\nHE WANTS US TO MAKE THE RIGHT CHOICE IN 2023! \n\nPETER OBI IS THE RIG\xe2\x80\xa6'
2022-11-18 22:48:27+00:00,b'RT @firstladyship: This is Street Credibility. Peter Obi is not your mate. Can you fight GRACE? \xf0\x9f\x92\xaa\xf0\x9f\x91\x8f https://t.co/m0HEqDeoHg'
2022-11-18 22:48:25+00:00,"b'RT @therealsojidan: This woman, whoever she is, I owe her a big hug.\n.\n.\n.\nOmoyele Sowore Baba blue Adamu Hullabaloo Davido Nairaland God A\xe2\x80\xa6'"
2022-11-18 22:48:25+00:00,"b'RT @Harmless12345: Sebeigbo is now afraid of releasing his ""part 2"" to avoid another assignment from Peter Obi. It\'s not easy to be stooopi\xe2\x80\xa6'"
2022-11-18 22:48:24+00:00,"b'RT @balamiisaac: My Dear people, PH was on fire \xf0\x9f\x94\xa5 today. I agree with the lady who was asking H.E incoming President Peter Obi who he used\xe2\x80\xa6'"
2022-11-18 22:48:22+00:00,"b'@just4fortune @OduduPaul Old news,they will be better when Peter Obi gets elected.'"
2022-11-18 22:48:21+00:00,"b'Where are those celebrities that came out and protest during end sars\xe2\x80\xa6\xe2\x80\xa6this is the time we need una again, only\xe2\x80\xa6 https://t.co/S6ts0630EM'"
2022-11-18 22:48:20+00:00,b'RT @cousinray_: These are rural areas. Peter Obi made sure no town was left out. /59 https://t.co/tWqsb7MIdf'
2022-11-18 22:48:19+00:00,"b""RT @dokubohilda: Nigerians do not allow any confused being to confuse you with all what not. This is he. I can't wait for us to start the p\xe2\x80\xa6"""
2022-11-18 22:48:19+00:00,b'RT @MissPearls: \xe2\x80\x9cThe new manifesto is ready and I\xe2\x80\x99ll discuss with Peter Obi on whether we should release it directly or do an unveiling cer\xe2\x80\xa6'
2022-11-18 22:48:18+00:00,b'RT @ObiFlagboy: May the grace backing Peter Obi work in your life.'
2022-11-18 22:48:17+00:00,"b""RT @KcUzoka: Lawyers for Peter Obi @Lawyers4PetaObi is working with a team of Data Analysts and other Peter Obi's support groups to analyze\xe2\x80\xa6"""
