Time,Text
2022-11-18 23:11:12+00:00,"b'RT @Tony_Ogbuagu: If there is anything you will miss, don\xe2\x80\x99t miss this townhall series with Alhaji Atiku Abubakar and Gov. Ifeanyi Okowa on\xe2\x80\xa6'"
2022-11-18 23:09:43+00:00,"b'RT @A_Mahdizzaman: One of Atiku Abubakar\xe2\x80\x99s policy agenda would be to improve, strengthen the education system and equip students with all n\xe2\x80\xa6'"
2022-11-18 23:09:02+00:00,"b""RT @AhmedAdamu: Earlier Today with the most Intelligent Presidential Candidate and Incoming President by God's Grace,  H.E. @atiku Abubakar\xe2\x80\xa6"""
2022-11-18 23:08:18+00:00,"b'RT @lagosforlagos: @aatiku bags New Telegraph Lifetime Achievement award\n\nLagos PDP Governorship Candidate, Dr. Abdul-Azeez Olajide Adedira\xe2\x80\xa6'"
2022-11-18 23:04:42+00:00,"b'@novieverest Atiku Abubakar is a man of questionable characters, he should be ignore ASAP... https://t.co/C5lIGD0F7n'"
2022-11-18 23:02:08+00:00,"b'Na why we all suppose vote for and support His Excellency Atiku Abubakar, Waziri Adamawa \xf0\x9f\x92\xaf https://t.co/KSWx9rfNYl'"
2022-11-18 23:01:53+00:00,b'RT @NasirZugachi: The people of Kano state we are ready to elect Alhaji. @atiku Abubakar as the president of Nigeria in 2023 @OfficialPDPNi\xe2\x80\xa6'
2022-11-18 23:01:30+00:00,"b'RT @Amb_Balemoh: I passed countless towns, villages and Local Government areas today on my way to my constituency in Katsina State. Every r\xe2\x80\xa6'"
2022-11-18 23:00:49+00:00,"b""RT @AhmedAdamu: Earlier Today with the most Intelligent Presidential Candidate and Incoming President by God's Grace,  H.E. @atiku Abubakar\xe2\x80\xa6"""
2022-11-18 23:00:29+00:00,b'RT @Abiola_Trends: I Married My Destiny Helper \xe2\x80\x93 Man Celebrates Wife Who Often Settles Part Of Their Bills\n\nA South African man identified\xe2\x80\xa6'
2022-11-18 22:59:42+00:00,b'RT @abbalala3: The PDP Presidential Candidate H.E @atiku Abubakar alongside his running mate H.E Gov Ifeanyi Okowa had a closed-door meetin\xe2\x80\xa6'
2022-11-18 22:55:20+00:00,"b""RT @mondayomoaigbe: JUST IN\xf0\x9f\x9f\xaa\xf0\x9f\x9f\xa5\xf0\x9f\x94\xb7\nWE' RE NOT FOOLS, WHY DIDN'T YOU CHALLENGE FAKE BUHARI ALL THIS YEARS?  GOVERNOR WIKE TACKLES PRESIDENTIAL C\xe2\x80\xa6"""
2022-11-18 22:54:38+00:00,"b'RT @EverestOnyek: Atiku Abubakar would have been preferable, but how can I choose a turkey when I have an eagle!.\n\nPeter Gregory Obi (GCFR)\xe2\x80\xa6'"
2022-11-18 22:54:11+00:00,"b""RT @realFFK: Is this the best that Atiku's latest wife and rear- guard receiver, Mrs. Dino Atiku Abubakar could do? \n\nYesterday they fabric\xe2\x80\xa6"""
2022-11-18 22:53:43+00:00,"b""RT @AhmedAdamu: Earlier Today with the most Intelligent Presidential Candidate and Incoming President by God's Grace,  H.E. @atiku Abubakar\xe2\x80\xa6"""
2022-11-18 22:53:17+00:00,b'RT @fisayosoyombo: FLASHBACK: The Dollar Link Between Jailed US Congressman Jefferson and Atiku Abubakar https://t.co/oF3xD0tqwW'
2022-11-18 22:52:15+00:00,b'RT @ProvidenceEssi3: Only Atiku Abubakar has the right to campaign with what he did when he was in government because his legacies are stil\xe2\x80\xa6'
2022-11-18 22:52:15+00:00,"b'RT @cousinray_: BREAKING NEWS!! \nMFN Coalition CONDEMNs ATIKU ABUBAKAR, revealing what they identified as a dangerous pattern of  deceit da\xe2\x80\xa6'"
2022-11-18 22:49:45+00:00,b'@sirdanladi @DemolaRewaju @OfficialDeboO @alabruce_j @_dinomelaye PDP.... POWER TO THE PEOPLE \xf0\x9f\x87\xb3\xf0\x9f\x87\xac\xe2\x9c\x8a\xf0\x9f\x87\xb3\xf0\x9f\x87\xac\n\nAtiku Abubakar\xe2\x80\xa6 https://t.co/EnFEunbL3K'
2022-11-18 22:49:11+00:00,"b'RT @emmaikumeh: Let me repeat it again, former president Goodluck Jonathan, hasn\xe2\x80\x99t changed his stance from 2019 when he supported the incom\xe2\x80\xa6'"
2022-11-18 22:48:51+00:00,b'RT @MSLAMID0: Our heartfelt gratitude goes to the youths and people of Malam-Madori Local Government who organized a solidarity march today\xe2\x80\xa6'
2022-11-18 22:48:30+00:00,"b'RT @Amb_Balemoh: I passed countless towns, villages and Local Government areas today on my way to my constituency in Katsina State. Every r\xe2\x80\xa6'"
2022-11-18 22:48:05+00:00,"b'RT @Amb_Balemoh: I passed countless towns, villages and Local Government areas today on my way to my constituency in Katsina State. Every r\xe2\x80\xa6'"
2022-11-18 22:47:59+00:00,"b""RT @Harmless12345: Just because I joined Obidients to caution INEC, you're now saying I'm against una victory... No problem, go ahead and r\xe2\x80\xa6"""
2022-11-18 22:47:53+00:00,b'RT @Mr_Emmcap__: I am going to make sure that public education is well funded but will be primarily for the children of the poor. The child\xe2\x80\xa6'
2022-11-18 22:47:45+00:00,b'RT @Abdullahiabba_: His Excellency Alhaji Atiku Abubakar 7 points Agenda when elected as the president of Nigeria https://t.co/a7G4r0Yyif'
2022-11-18 22:46:56+00:00,"b'RT @SWAtiku2023: Hauwa, daughter of PDP presidential Candidate, Atiku Abubakar paid a visit to poultry traders in Garki Market. Addressed N\xe2\x80\xa6'"
2022-11-18 22:46:45+00:00,"b'I passed countless towns, villages and Local Government areas today on my way to my constituency in Katsina State.\xe2\x80\xa6 https://t.co/zuF2NYIXXv'"
2022-11-18 22:45:25+00:00,b'RT @Waspapping_: I have no doubt in my mind that Rice will sell for not more than N20k when Atiku Abubakar becomes the president of this co\xe2\x80\xa6'
2022-11-18 22:43:48+00:00,"b""RT @AhmedAdamu: Earlier Today with the most Intelligent Presidential Candidate and Incoming President by God's Grace,  H.E. @atiku Abubakar\xe2\x80\xa6"""
2022-11-18 22:43:34+00:00,b'RT @abbalala3: The PDP Presidential Candidate H.E @atiku Abubakar alongside his running mate H.E Gov Ifeanyi Okowa had a closed-door meetin\xe2\x80\xa6'
2022-11-18 22:43:30+00:00,b'@atiku ATIKU ABUBAKAR The unifier na one Nigeria want to be our leader incoming president inshallahu'
2022-11-18 22:43:24+00:00,b'RT @Rasheethe: The PDP Presidential Candidate H.E Atiku Abubakar alongside his running mate H.E Gov Ifeanyi Okowa had a closed-door meeting\xe2\x80\xa6'
2022-11-18 22:43:19+00:00,"b'RT @IAOkowa: Last night, alongside our Presidential Candidate, Alhaji @Atiku Abubakar, we had a great meeting with our former President, H.\xe2\x80\xa6'"
2022-11-18 22:42:16+00:00,"b'RT @binjiii_5: The Leadership And Members Of The Atiku Youth Wing Kano State Chapter @AtikuYwingkano On Ground To Receive His Excellency, @\xe2\x80\xa6'"
2022-11-18 22:40:17+00:00,b'RT @Abiola_Trends: I Married My Destiny Helper \xe2\x80\x93 Man Celebrates Wife Who Often Settles Part Of Their Bills\n\nA South African man identified\xe2\x80\xa6'
2022-11-18 22:40:02+00:00,"b'RT @alabruce_j: When you are told to vote wisely it means vote, @atiku Abubakar. https://t.co/EEVq3uwSH0'"
2022-11-18 22:39:44+00:00,"b'RT @Sir_Sulaimanu: Earlier today, His Excellency Alh Atiku Abubakar GCON led other senior members of our great party, the PDP, to commissio\xe2\x80\xa6'"
2022-11-18 22:38:39+00:00,"b'RT @EverestOnyek: Atiku Abubakar would have been preferable, but how can I choose a turkey when I have an eagle!.\n\nPeter Gregory Obi (GCFR)\xe2\x80\xa6'"
2022-11-18 22:37:38+00:00,b'RT @iamdihealer: Nigeria needs a leader who is as mentally and physically sound as Atiku Abubakar.'
2022-11-18 22:35:36+00:00,b'RT @Babaibadansahed: H.E. @atiku Abubakar is not a Boss. He does not have the qualities of a Boss. Referring to him as a Boss is wrong in m\xe2\x80\xa6'
2022-11-18 22:33:56+00:00,b'No candidate that is better than Atiku Abubakar . ATIKU is the only one who can change our country 2023.\nDr uche Philip G'
2022-11-18 22:33:51+00:00,b'RT @Abiola_Trends: I Married My Destiny Helper \xe2\x80\x93 Man Celebrates Wife Who Often Settles Part Of Their Bills\n\nA South African man identified\xe2\x80\xa6'
2022-11-18 22:32:13+00:00,"b'@DrOkaforEmmanu1 I think its time @Atiku @AtikuOrg @AdamuAtikuA recognize u as one of his media assistants, u are d\xe2\x80\xa6 https://t.co/ebZ1Bfk1wj'"
2022-11-18 22:31:37+00:00,b'RT @Abiola_Trends: I Married My Destiny Helper \xe2\x80\x93 Man Celebrates Wife Who Often Settles Part Of Their Bills\n\nA South African man identified\xe2\x80\xa6'
2022-11-18 22:28:46+00:00,"b'RT @cousinray_: BREAKING NEWS!! \nMFN Coalition CONDEMNs ATIKU ABUBAKAR, revealing what they identified as a dangerous pattern of  deceit da\xe2\x80\xa6'"
2022-11-18 22:28:41+00:00,"b'RT @EverestOnyek: Atiku Abubakar would have been preferable, but how can I choose a turkey when I have an eagle!.\n\nPeter Gregory Obi (GCFR)\xe2\x80\xa6'"
2022-11-18 22:26:27+00:00,b'RT @Angela201045315: Atiku Abubakar is truly a Unifier!\nThis is a fact!'
2022-11-18 22:26:14+00:00,b'PDP presidential candidate Atiku Abubakar commission Peoples Democratic Institute today https://t.co/E4EY00sklg'
2022-11-18 22:26:03+00:00,"b""RT @AhmedAdamu: Earlier Today with the most Intelligent Presidential Candidate and Incoming President by God's Grace,  H.E. @atiku Abubakar\xe2\x80\xa6"""
2022-11-18 22:25:45+00:00,b'PDP presidential candidate Atiku Abubakar commission Peoples Democratic Institute today https://t.co/WXgPrjfqcv'
2022-11-18 22:25:25+00:00,b'PDP presidential candidate Atiku Abubakar commission Peoples Democratic Institute today https://t.co/Hb1nNW3lMw'
2022-11-18 22:24:38+00:00,b'RT @Angela201045315: Atiku Abubakar is truly a Unifier!\nThis is a fact!'
