Time,Text
2022-11-18 23:30:32+00:00,b'RT @adamugarba: Here is my response to @DavidHundeyin \xe2\x80\x98s many conspiratorial publications againt Asiwaju Bola Ahmed Tinubu @officialABAT. I\xe2\x80\xa6'
2022-11-18 23:30:09+00:00,"b'RT @Ibykul: https://t.co/yLgbVk1jGS is co-publishing the report from @DavidHundeyin, whose platform @WestAfricaWeek\nhas been collaborating\xe2\x80\xa6'"
2022-11-18 23:29:58+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:29:57+00:00,"b""RT @kokomatic: Meet Bola Ahmed Tinubu's childhood friend and University mate.\n\nShame to the naysayers. \xf0\x9f\x98\x8b\xf0\x9f\x98\x8b https://t.co/ggCOyay67q"""
2022-11-18 23:29:33+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:29:32+00:00,b'RT @Marvy_olu: Analyzed the plans of all presidential candidates and here is my opinion. \n\n- Who has a more robust economic plan? Tinubu!\xe2\x80\xa6'
2022-11-18 23:29:27+00:00,"b'RT @DavidHundeyin: 1: The gender of the ""Bola A. Tinubu"" who was admitted into @ChicagoState\n\n2: The D.O.B. of the same ""Bola A. Tinubu""\n\n3\xe2\x80\xa6'"
2022-11-18 23:29:16+00:00,"b'RT @FirstObidient: If at this point you\xe2\x80\x99re still package Bola Ahmed Tinubu and the APC for us and you\xe2\x80\x99re processing your japa visa, I pray\xe2\x80\xa6'"
2022-11-18 23:29:12+00:00,b'RT @adamugarba: Here is my response to @DavidHundeyin \xe2\x80\x98s many conspiratorial publications againt Asiwaju Bola Ahmed Tinubu @officialABAT. I\xe2\x80\xa6'
2022-11-18 23:29:12+00:00,"b'RT @Shehusky: BREAKING: Another Banger from BAT\n\n\xe2\x80\x9c A dead fish cannot be sweet in any soup\xe2\x80\x9d \n\xe2\x80\x94- Bola Ahmed Tinubu, 15-11-2022 in Jos Nigeri\xe2\x80\xa6'"
2022-11-18 23:28:48+00:00,"b'RT @FirstObidient: If at this point you\xe2\x80\x99re still package Bola Ahmed Tinubu and the APC for us and you\xe2\x80\x99re processing your japa visa, I pray\xe2\x80\xa6'"
2022-11-18 23:28:35+00:00,b'RT @adamugarba: Here is my response to @DavidHundeyin \xe2\x80\x98s many conspiratorial publications againt Asiwaju Bola Ahmed Tinubu @officialABAT. I\xe2\x80\xa6'
2022-11-18 23:28:12+00:00,"b'In all that show of mental &amp; or cognitive imbalance by Bola Ahmed Tinubu recently on live television, my biggest wo\xe2\x80\xa6 https://t.co/7wImrQK6vj'"
